id,name,doi,publication_date,type,is_oa,oa_status,oa_url,authorships,cited_by_count,is_retracted,is_paratext,concepts,locations,best_oa_location,referenced_works,related_works,ngrams_url,cited_by_api_url,updated_date,created_date
W4238435256,London Concerts,https://doi.org/10.2307/917745,1934-08-01,journal-article,False,closed,,,0,False,False,C142362112,S957635290,,,"W88320,W2357841,W4722863,W5409849,W6235356,W15822333,W16645413,W17399914,W18257074,W26420668",,https://api.openalex.org/works?filter=cites:W4238435256,2023-04-15,2022-05-12
W4239028034,Publications Recently Received,https://doi.org/10.1111/j.1752-0118.2001.tb00031.x,2001-12-01,journal-article,False,closed,,,0,False,False,"C15744967,C11171543",S81625862,,,"W4152192,W19110677,W24217114,W24509937,W31239643,W39398377,W41679051,W44222909,W44440425,W45267762",,https://api.openalex.org/works?filter=cites:W4239028034,2023-04-15,2022-05-12
W4239871512,"ARF Makes Strong, Fast-Molding Graphite",https://doi.org/10.1021/cen-v039n033.p062,1961-08-14,journal-article,False,closed,,,0,False,False,"C2779698641,C67558686,C159985019,C192562407,C77595967,C171250308,C126348684,C127413603",S163506364,,,"W11227370,W12335935,W12887776,W18415128,W25628216,W31103089,W41690434,W44630247,W46868417,W52511543",,https://api.openalex.org/works?filter=cites:W4239871512,2023-04-15,2022-05-12
W4241183569,,https://doi.org/10.7147/geo2.0000,2001-01-01,journal-issue,False,closed,,,0,False,False,C144133560,S2737922637,,,"W1301057,W2603845,W23457798,W31825106,W47249500,W48489418,W57938817,W69848177,W78369665,W90930138",,https://api.openalex.org/works?filter=cites:W4241183569,2023-04-15,2022-05-12
W4241255714,,https://doi.org/10.1111/jmi.1872.7.issue-5,1872-05-01,journal-issue,False,closed,,,0,False,False,C144133560,S2764541166,,,"W563404,W972044,W1802230,W2882144,W3159603,W5053386,W5281039,W11016543,W12205962,W13234647",,https://api.openalex.org/works?filter=cites:W4241255714,2023-04-15,2022-05-12
W4242593670,Das Abkommen der internationalen Sanitätskonferenz in Paris vom 3. Dezember 1903,https://doi.org/10.1055/s-0029-1187488,1904-04-01,journal-article,False,closed,,,0,False,False,C71924100,S38943393,,,"W1789652,W4082110,W4459791,W5200233,W7796093,W17604275,W19290910,W20565001,W22474374,W28592040",,https://api.openalex.org/works?filter=cites:W4242593670,2023-04-15,2022-05-12
W4243571604,,https://doi.org/10.1299/jsmemag.74.628_587_1,1971-01-01,journal-article,False,closed,,,0,False,False,C41008148,S4210210193,,,"W563404,W972044,W1802230,W2382884,W2732331,W2805907,W2882144,W3159603,W5053386,W5281039",,https://api.openalex.org/works?filter=cites:W4243571604,2023-04-15,2022-05-12
W4243969796,Sir Walter Ralegh: a Biograply,https://doi.org/10.1093/nq/s8-i.2.39f,1892-01-09,journal-article,False,closed,,,0,False,False,"C142362112,C95457728",S128516502,,,"W2763967,W5243531,W7399594,W12837878,W14218733,W14451503,W19291988,W19985917,W21391234,W23636031",,https://api.openalex.org/works?filter=cites:W4243969796,2023-04-15,2022-05-12
W4244439176,"Die mikroskopischen Kennzeichen der für die Technik wichtigeren Bastzellen (des Leines, Hanfes etc.)",https://doi.org/10.1002/ardp.18521210236,1852-01-01,journal-article,False,closed,,,0,False,False,"C138885662,C121332964",S174911965,,,"W2614368,W6059010,W6427489,W6993879,W10845409,W11380639,W14600712,W14889694,W22694048,W23559485",,https://api.openalex.org/works?filter=cites:W4244439176,2023-04-15,2022-05-12
W4244656407,Annotations.,https://doi.org/10.1016/s0140-6736(02)47634-9,1879-07-01,journal-article,False,closed,,,0,False,False,C41008148,S49861241,,,"W1789652,W2293685,W4082110,W4459791,W5200233,W7796093,W17604275,W19290910,W20565001,W22474374",,https://api.openalex.org/works?filter=cites:W4244656407,2023-04-15,2022-05-12
W4244884064,"Proceedings of the stated monthly meeting, October 20, 1859",https://doi.org/10.1016/0016-0032(59)90632-5,1859-11-01,journal-article,False,closed,,,0,False,False,"C95457728,C39432304,C205649164",S183498172,,,"W12985931,W13187946,W16592002,W18975104,W28312922,W34054796,W44821908,W44990420,W45727539,W47249500",,https://api.openalex.org/works?filter=cites:W4244884064,2023-04-15,2022-05-12
W4245359816,List of Contributors,https://doi.org/10.1017/s0940739196000355,1996-01-01,journal-article,False,closed,,,0,False,False,"C41008148,C95457728,C23123220",S35662283,,,"W23537553,W44276466,W44332676,W46729809,W52536982,W69398408,W77768461,W90152482,W97190777,W111198033",,https://api.openalex.org/works?filter=cites:W4245359816,2023-04-15,2022-05-12
W4245677940,,https://doi.org/10.1111/rge.2001.51.issue-2,2001-06-01,journal-issue,False,closed,,,0,False,False,"C127313418,C17409809",S133462754,,,"W28901005,W35473989,W42483851,W42702539,W46369703,W59276899,W71302445,W75700085,W80833245,W82118975",,https://api.openalex.org/works?filter=cites:W4245677940,2023-04-15,2022-05-12
W4247809826,Discussion,https://doi.org/10.1016/s0022-5347(17)69110-9,1949-03-01,journal-article,False,closed,,,0,False,False,C71924100,S30525748,,,"W1789652,W2815209,W4082110,W4459791,W5200233,W7796093,W19290910,W20565001,W21466760,W22474374",,https://api.openalex.org/works?filter=cites:W4247809826,2023-04-15,2022-05-12
W4248322854,,https://doi.org/10.1002/syn.v49:2,2003-08-01,journal-issue,False,closed,,,0,False,False,"C41008148,C144133560",S158211696,,,"W1596801655,W1972437902,W2358668433,W2373011076,W2376932109,W2387147530,W2390279801,W2688602461,W2748952813,W2899084033",,https://api.openalex.org/works?filter=cites:W4248322854,2023-04-15,2022-05-12
W4248828796,"Karl Heumanns Anleitung zum Experimentieren bei Vorlesungen über anorganische Chemie zum Gebrauch an Universitäten, Technischen Hochschulen und höheren Lehranstalten von Prof. Dr. O. Kühling. 3. Auflage. XXIX und 818 Seiten mit 404 Abbildungen. Preis geh. 19 Mk., geb. 20 Mk. Verlag von Fr. Vieweg & Sohn, Braunschweig",https://doi.org/10.1002/bbpc.19040101207,1904-03-18,journal-article,False,closed,,,0,False,False,"C138885662,C121332964",S4210205341,,,"W11168706,W12064936,W14491578,W17741277,W31503462,W41999275,W44313619,W46821495,W47660773,W48084317",,https://api.openalex.org/works?filter=cites:W4248828796,2023-04-15,2022-05-12
W4250471443,Our Sporting JournalsAfield and Afloat.The American Field.The Forest and Stream and Rod and Gun.The Chicago Field.,https://doi.org/10.1086/272884,1881-08-01,journal-article,False,closed,,,0,False,False,"C9652623,C205649164,C33923547,C202444582",S122176235,,,"W649816291,W2038629209,W2059761707,W2073705106,W2748952813,W2899084033,W2938786841,W2982120024,W3120165752,W4283749635",,https://api.openalex.org/works?filter=cites:W4250471443,2023-04-15,2022-05-12
W4250551775,FAIR: Fairness & accuracy in reporting,https://doi.org/10.5860/choice.37sup-089,2000-08-01,journal-article,False,closed,,,0,False,False,C41008148,S2764375719,,,"W494408,W2276811,W2618785,W6084804,W6984342,W8784221,W9001035,W9575744,W10917005,W13644388",,https://api.openalex.org/works?filter=cites:W4250551775,2023-04-15,2022-05-12
W4250578418,Immune evaluation of recombinant human alpha-2a interferon (IFNα) & interleukin-2 (rIL2) ambulatory treatment,https://doi.org/10.1016/1043-4666(91)90303-u,1991-09-01,journal-article,False,closed,,,0,False,False,"C8891405,C40767141,C2909179924,C35785553,C71924100,C203014093,C2776178377,C185592680,C126322002,C55493867,C104317684",S70396342,,,"W879727,W1878555,W3534871,W5195989,W6302995,W6449941,W9413912,W11178560,W16891771,W21623785",,https://api.openalex.org/works?filter=cites:W4250578418,2023-04-15,2022-05-12
W4251260572,Bureau of Legal Medicine and Legislation,https://doi.org/10.1001/jama.1941.02820160121024,1941-04-19,journal-article,False,closed,,,0,False,False,"C71924100,C2777351106,C199539241,C512399662,C556039675,C17744445",S172573765,,,"W2420059,W2533099,W6082286,W7314916,W8136109,W10170280,W15774006,W16169670,W17715473,W19490509",,https://api.openalex.org/works?filter=cites:W4251260572,2023-04-15,2022-05-12
W4251824221,"Gas Chromatograph Integrated Valve Fernand B. Kuffer and Ralph A. Dora (Beckman Instruments Inc.) U.S. 3,150,517 (Sept. 29, 1964)",https://doi.org/10.1093/chromsci/3.1.16a-b,1965-01-01,journal-article,False,closed,,,0,False,False,"C185592680,C43617362",S144192255,,,"W6540340,W7654843,W9791283,W12179149,W19911284,W34168218,W34997849,W35321273,W39319588,W43355055",,https://api.openalex.org/works?filter=cites:W4251824221,2023-04-15,2022-05-12
W4251935057,The Census,https://doi.org/10.1192/bjp.18.81.120,1872-04-01,journal-article,False,closed,,,0,False,False,"C52130261,C205649164,C149923435,C144024400,C2908647359",S4210227222,,,"W5966483,W5992636,W18069826,W19833325,W30002051,W41783922,W42574852,W45501085,W49763463,W49785539",,https://api.openalex.org/works?filter=cites:W4251935057,2023-04-15,2022-05-12
W4252208921,Remember tHe black kettle and soap making time,https://doi.org/10.1021/cen-v039n033.p032,1961-08-14,journal-article,False,closed,,,0,False,False,"C76743934,C17881449,C127413603,C41008148,C136764020,C18903297,C86803240",S163506364,,,"W38226149,W39037750,W40206391,W49087083,W56946700,W58500122,W65872001,W87684825,W88999384,W121465314",,https://api.openalex.org/works?filter=cites:W4252208921,2023-04-15,2022-05-12
W4252944312,98/02096 Effect of pore size on adsorption of hydrocarbons in phenolic-based activated carbon fibers,https://doi.org/10.1016/s0140-6701(98)80296-8,1998-05-01,journal-article,False,closed,,,0,False,False,"C150394285,C2779647737,C42360764,C192562407,C185592680,C178790620,C127413603",S133353349,,,"W1046084,W3100107,W3912778,W4302789,W11304503,W16810352,W17874492,W24873105,W25964106,W30972279",,https://api.openalex.org/works?filter=cites:W4252944312,2023-04-15,2022-05-12
W4252955293,LECTURES IN OPHTHALMOLOGY,https://doi.org/10.5694/j.1326-5377.1949.tb68047.x,1949-06-01,journal-article,False,closed,,,0,False,False,"C118487528,C71924100,C119767625",S13978405,,,"W90358,W4081553,W4173046,W4551475,W4877665,W7105194,W7975040,W11425912,W17872599,W32228185",,https://api.openalex.org/works?filter=cites:W4252955293,2023-04-15,2022-05-12
W4253337970,NEWS FOCUS,https://doi.org/10.1021/cen-v039n033.p124,1961-08-14,journal-article,False,closed,,,0,False,False,"C192209626,C17744445,C121332964,C120665830",S163506364,,,"W226353,W747332,W1159858,W1900459,W4177978,W4606819,W5220144,W6022546,W6527533,W10244706",,https://api.openalex.org/works?filter=cites:W4253337970,2023-04-15,2022-05-12
W4255464132,Croix-Rouge Internationale,https://doi.org/10.1017/s1026881200143934,1954-11-01,journal-article,False,closed,,,0,False,False,"C7888048,C17744445,C15708023,C205649164,C142362112,C41008148,C204321447",S4210226482,,,"W71032,W479266,W948576,W980398,W1533086,W2434757,W2566778,W5163586,W7855562,W8108422",,https://api.openalex.org/works?filter=cites:W4255464132,2023-04-15,2022-05-12
W4255904265,In re Cetuchinas.,https://doi.org/10.1017/cbo9781316151341.270,1940-01-01,journal-article,False,closed,,,0,False,False,C127313418,S4210227296,,,"W4039402,W10698245,W18736727,W24366449,W26806622,W28474752,W29430631,W30628898,W37029456,W44708841",,https://api.openalex.org/works?filter=cites:W4255904265,2023-04-15,2022-05-12
W4255950924,Contents,https://doi.org/10.1016/s0168-583x(01)00621-8,2001-05-01,other,False,closed,,,0,False,True,C192562407,S113542562,,,"W563404,W972044,W1802230,W2882144,W5281039,W5574817,W5963666,W6008397,W11016543,W12544054",,https://api.openalex.org/works?filter=cites:W4255950924,2023-04-15,2022-05-12
W4256519415,Most probable mechanism of roof rockburst in coal mines of Bytom Sycline,https://doi.org/10.1016/0148-9062(92)93116-2,1992-09-01,journal-article,False,closed,,,0,False,False,"C2776748203,C16674752,C89611455,C108615695,C127313418,C187320778,C518851703,C77595967,C127413603,C147176958,C548081761,C138885662,C111472728",S25739708,,,"W6676957,W15362642,W20169435,W35588157,W46166500,W48849384,W51490357,W52775214,W57064897,W77617679",,https://api.openalex.org/works?filter=cites:W4256519415,2023-04-15,2022-05-12
W4256670546,Titelei,https://doi.org/10.1524/stuf.1994.47.2.masthead,1994-01-01,journal-article,False,closed,,,0,False,False,"C41895202,C95457728,C205649164,C138885662",S159798926,,,"W126793,W12956254,W17419436,W21923603,W25415883,W28703946,W28758198,W30768636,W36991828,W39475415",,https://api.openalex.org/works?filter=cites:W4256670546,2023-04-15,2022-05-12
